Module,Module Number,Relationship,First Object Name,First Image Number,First Object Number,Second Object Name,Second Image Number,Second Object Number
MeasureObjectNeighbors,15,Neighbors,Group_centrioles_neighbouring,1,1,Group_centrioles_neighbouring,1,2
MeasureObjectNeighbors,15,Neighbors,Group_centrioles_neighbouring,1,1,Group_centrioles_neighbouring,1,3
MeasureObjectNeighbors,15,Neighbors,Group_centrioles_neighbouring,1,2,Group_centrioles_neighbouring,1,1
MeasureObjectNeighbors,15,Neighbors,Group_centrioles_neighbouring,1,3,Group_centrioles_neighbouring,1,1
