ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Neighbors_AngleBetweenNeighbors_Expanded,Neighbors_FirstClosestDistance_Expanded,Neighbors_FirstClosestObjectNumber_Expanded,Neighbors_NumberOfNeighbors_Expanded,Neighbors_PercentTouching_Expanded,Neighbors_SecondClosestDistance_Expanded,Neighbors_SecondClosestObjectNumber_Expanded,Number_Object_Number,Parent_V1
1,1,72.5414583692,105.384588864,143.227515804,95.0658964759,3,2.0,61.5727002967,95.8760718846,2,1,1
1,2,9.5900621118,33.0703933747,18.3054355197,95.8760718846,1,1.0,50.3778337531,181.194900603,3,2,0
1,3,165.464899713,125.453438395,18.4670486767,95.0658964759,1,1.0,45.5128205128,181.194900603,2,3,0
